,ctrl_A,ctrl_A_TEX,ctrl_B,ctrl_B_TEX,inf_A,inf_A_TEX,inf_B,inf_B_TEX
"ID=cds-AAG03471.1;Parent=gene-PA0081;Dbxref=NCBI_GP:AAG03471.1,PseudoCap:PA0081;Name=AAG03471.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa.;gbkey=CDS;gene=fha1;product=Fha1;protein_id=AAG03471.1;transl_table=11",223,140.0714286,129,126,166,100.4583333,99,129.05
ID=cds-AAG03472.1;Parent=gene-PA0082;Dbxref=NCBI_GP:AAG03472.1;Name=AAG03472.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03472.1;transl_table=11,235,161.5,116,102,173,194,91,121.3438596
ID=cds-AAG03473.1;Parent=gene-PA0083;Dbxref=NCBI_GP:AAG03473.1;Name=AAG03473.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03473.1;transl_table=11,348,153,159,95,252,114,151,94
ID=cds-AAG03474.1;Parent=gene-PA0084;Dbxref=NCBI_GP:AAG03474.1;Name=AAG03474.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03474.1;transl_table=11,987,354.25,524,254.5,714.2,311.45,372.2,224
"ID=cds-AAG03475.1;Parent=gene-PA0085;Dbxref=NCBI_GP:AAG03475.1,PseudoCap:PA0085;Name=AAG03475.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa.;gbkey=CDS;gene=hcp1;product=Hcp1;protein_id=AAG03475.1;transl_table=11",526.1428571,241,260,195.0769231,332,187,173,149
ID=cds-AAG03476.1;Parent=gene-PA0086;Dbxref=NCBI_GP:AAG03476.1;Name=AAG03476.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03476.1;transl_table=11,120,126.125,66,110,76,212.6666667,34,174
ID=cds-AAG03477.1;Parent=gene-PA0087;Dbxref=NCBI_GP:AAG03477.1;Name=AAG03477.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03477.1;transl_table=11,61,37,33,40,28,15,25,24
ID=cds-AAG03478.1;Parent=gene-PA0088;Dbxref=NCBI_GP:AAG03478.1;Name=AAG03478.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03478.1;transl_table=11,167,82.5,98,51.125,116,61.83333333,46,34
ID=cds-AAG03479.1;Parent=gene-PA0089;Dbxref=NCBI_GP:AAG03479.1;Name=AAG03479.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03479.1;transl_table=11,107,51.14285714,54,21,81,34.33333333,36,32
"ID=cds-AAG03480.1;Parent=gene-PA0090;Dbxref=NCBI_GP:AAG03480.1,PseudoCap:PA0090;Name=AAG03480.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa.;gbkey=CDS;gene=clpV1;product=ClpV1;protein_id=AAG03480.1;transl_table=11",322.25,208.7636494,182.25,169.1777778,185.25,183.6111111,103.75,144
"ID=cds-AAG03481.1;Parent=gene-PA0091;Dbxref=NCBI_GP:AAG03481.1,PseudoCap:PA0091;Name=AAG03481.1;Note=Product name confidence: Class 2: Function of highly similar gene experimentally demonstrated in another organism (and gene context consistent in terms of pathways its involved in%2C if known).;gbkey=CDS;gene=vgrG1;product=VgrG1;protein_id=AAG03481.1;transl_table=11",195.8484848,167.4227273,86.21212121,155.1363636,89.95454545,262.8522727,59.62121212,215.3484848
ID=cds-AAG03482.1;Parent=gene-PA0092;Dbxref=NCBI_GP:AAG03482.1;Name=AAG03482.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03482.1;transl_table=11,93,32,44,36.02380952,42,37,24,43
ID=cds-AAG03483.1;Parent=gene-PA0093;Dbxref=NCBI_GP:AAG03483.1;Name=AAG03483.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03483.1;transl_table=11,152,227,84,231,91,263.625,43,258.5105263
ID=cds-AAG03484.1;Parent=gene-PA0094;Dbxref=NCBI_GP:AAG03484.1;Name=AAG03484.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03484.1;transl_table=11,189,366,114,358,118,294,68,254
ID=cds-AAG03485.1;Parent=gene-PA0095;Dbxref=NCBI_GP:AAG03485.1;Name=AAG03485.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03485.1;transl_table=11,208.1666667,2602.5,98.16666667,2056.833333,180.8333333,2742.666667,124.4166667,3101.416667
ID=cds-AAG03486.1;Parent=gene-PA0096;Dbxref=NCBI_GP:AAG03486.1;Name=AAG03486.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03486.1;transl_table=11,11,7,8,4,8,9,2,6
ID=cds-AAG03487.1;Parent=gene-PA0097;Dbxref=NCBI_GP:AAG03487.1;Name=AAG03487.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03487.1;transl_table=11,11.5,13,7,5,9,19.25,6,10
ID=cds-AAG03488.1;Parent=gene-PA0098;Dbxref=NCBI_GP:AAG03488.1;Name=AAG03488.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03488.1;transl_table=11,5,5.071428571,5,2,6,2,4,12
ID=cds-AAG03489.1;Parent=gene-PA0099;Dbxref=NCBI_GP:AAG03489.1;Name=AAG03489.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03489.1;transl_table=11,87,64,51,73.4,58,94,32,92
ID=cds-AAG03490.1;Parent=gene-PA0100;Dbxref=NCBI_GP:AAG03490.1;Name=AAG03490.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03490.1;transl_table=11,78,135.8,52,125.6833333,57,166.5,39,176.3
ID=cds-AAG03491.1;Parent=gene-PA0101;Dbxref=NCBI_GP:AAG03491.1;Name=AAG03491.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03491.1;transl_table=11,8,12,3,18.36111111,11,17.16666667,5,13
ID=cds-AAG03492.1;Parent=gene-PA0102;Dbxref=NCBI_GP:AAG03492.1;Name=AAG03492.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable carbonic anhydrase;protein_id=AAG03492.1;transl_table=11,223,437.5,196,473,136,408.2428571,91,424
ID=cds-AAG03493.1;Parent=gene-PA0103;Dbxref=NCBI_GP:AAG03493.1;Name=AAG03493.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable sulfate transporter;protein_id=AAG03493.1;transl_table=11,22,19,20,52.17619048,6,30.14285714,6,40.25
ID=cds-AAG03494.1;Parent=gene-PA0104;Dbxref=NCBI_GP:AAG03494.1;Name=AAG03494.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03494.1;transl_table=11,40,176,29,165.3333333,19,281,8.333333333,315
ID=cds-AAG03495.1;Parent=gene-PA0105;Dbxref=NCBI_GP:AAG03495.1;Name=AAG03495.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=coxB;product=cytochrome c oxidase%2C subunit II;protein_id=AAG03495.1;transl_table=11,21,32,19,30,16,41.83333333,9.111111111,43
ID=cds-AAG03496.1;Parent=gene-PA0106;Dbxref=NCBI_GP:AAG03496.1;Name=AAG03496.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=coxA;product=cytochrome c oxidase%2C subunit I;protein_id=AAG03496.1;transl_table=11,12,74,15.2,94.5,13,120,5,105.2
ID=cds-AAG03497.1;Parent=gene-PA0107;Dbxref=NCBI_GP:AAG03497.1;Name=AAG03497.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03497.1;transl_table=11,4,4,3,2,2,10,2,7
ID=cds-AAG03498.1;Parent=gene-PA0108;Dbxref=NCBI_GP:AAG03498.1;Name=AAG03498.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=coIII;product=cytochrome c oxidase%2C subunit III;protein_id=AAG03498.1;transl_table=11,6,79,6,83.11111111,8,118,4,116
ID=cds-AAG03499.1;Parent=gene-PA0109;Dbxref=NCBI_GP:AAG03499.1;Name=AAG03499.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03499.1;transl_table=11,10,68,11,73,5,111,7,132
ID=cds-AAG03500.1;Parent=gene-PA0110;Dbxref=NCBI_GP:AAG03500.1;Name=AAG03500.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03500.1;transl_table=11,3,3,3,5,1,7,0,10.5
ID=cds-AAG03501.1;Parent=gene-PA0111;Dbxref=NCBI_GP:AAG03501.1;Name=AAG03501.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03501.1;transl_table=11,0,1,0,0,0,0,0,1
ID=cds-AAG03502.1;Parent=gene-PA0112;Dbxref=NCBI_GP:AAG03502.1;Name=AAG03502.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03502.1;transl_table=11,2,4.125,0,0,1,1,1,1
ID=cds-AAG03503.1;Parent=gene-PA0113;Dbxref=NCBI_GP:AAG03503.1;Name=AAG03503.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable cytochrome c oxidase assembly factor;protein_id=AAG03503.1;transl_table=11,27,212.5,17,225,25,296,19,273
ID=cds-AAG03504.1;Parent=gene-PA0114;Dbxref=NCBI_GP:AAG03504.1;Name=AAG03504.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=senC;product=SenC;protein_id=AAG03504.1;transl_table=11,54,43,42,64,45,87.0625,27,68.06666667
ID=cds-AAG03505.1;Parent=gene-PA0115;Dbxref=NCBI_GP:AAG03505.1;Name=AAG03505.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03505.1;transl_table=11,19,114,32,117,37,190,24,219
ID=cds-AAG03506.1;Parent=gene-PA0116;Dbxref=NCBI_GP:AAG03506.1;Name=AAG03506.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03506.1;transl_table=11,67,552,59,357,77,737,52,909
ID=cds-AAG03507.1;Parent=gene-PA0117;Dbxref=NCBI_GP:AAG03507.1;Name=AAG03507.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable short chain dehydrogenase;protein_id=AAG03507.1;transl_table=11,22,45,21,26,17,58,10,71
ID=cds-AAG03508.1;Parent=gene-PA0118;Dbxref=NCBI_GP:AAG03508.1;Name=AAG03508.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03508.1;transl_table=11,9,10.5,11,13.33333333,14,12.58333333,7,17.25
ID=cds-AAG03509.1;Parent=gene-PA0119;Dbxref=NCBI_GP:AAG03509.1;Name=AAG03509.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable dicarboxylate transporter;protein_id=AAG03509.1;transl_table=11,120,2224,108,2244.125,247,4178.2,168,3819
ID=cds-AAG03510.1;Parent=gene-PA0120;Dbxref=NCBI_GP:AAG03510.1;Name=AAG03510.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG03510.1;transl_table=11,7,13,3,21,17,13,12,42
ID=cds-AAG03511.1;Parent=gene-PA0121;Dbxref=NCBI_GP:AAG03511.1;Name=AAG03511.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03511.1;transl_table=11,4,7,3,6.016949153,9,13,6,8.25
ID=cds-AAG03512.1;Parent=gene-PA0122;Dbxref=NCBI_GP:AAG03512.1;Name=AAG03512.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03512.1;transl_table=11,21,52,10,38,17,73,16,70
ID=cds-AAG03513.1;Parent=gene-PA0123;Dbxref=NCBI_GP:AAG03513.1;Name=AAG03513.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG03513.1;transl_table=11,43,20,27,25,96,52,48,70
ID=cds-AAG03514.1;Parent=gene-PA0124;Dbxref=NCBI_GP:AAG03514.1;Name=AAG03514.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03514.1;transl_table=11,75,32,61,33.1,189,85,118,80.5
ID=cds-AAG03515.1;Parent=gene-PA0125;Dbxref=NCBI_GP:AAG03515.1;Name=AAG03515.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03515.1;transl_table=11,61,152,38,170,226,1143,136,1195
ID=cds-AAG03516.1;Parent=gene-PA0126;Dbxref=NCBI_GP:AAG03516.1;Name=AAG03516.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03516.1;transl_table=11,72,110,34,102.25,34,94,32,58
ID=cds-AAG03517.1;Parent=gene-PA0127;Dbxref=NCBI_GP:AAG03517.1;Name=AAG03517.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03517.1;transl_table=11,16,83.11111111,3,64,36,130.2,21,205.2
ID=cds-AAG03518.1;Parent=gene-PA0128;Dbxref=NCBI_GP:AAG03518.1;Name=AAG03518.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03518.1;transl_table=11,187,971,161,997.3333333,143,966,130,1151
ID=cds-AAG03519.1;Parent=gene-PA0129;Dbxref=NCBI_GP:AAG03519.1;Name=AAG03519.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=gabP;product=gamma-aminobutyrate permease;protein_id=AAG03519.1;transl_table=11,8,22,7,21.2,6,41,4,37.53333333
ID=cds-AAG03520.1;Parent=gene-PA0130;Dbxref=NCBI_GP:AAG03520.1;Name=AAG03520.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable aldehyde dehydrogenase;protein_id=AAG03520.1;transl_table=11,51.2,29.0625,42,24,56,48.14285714,42,35.48571429
