,JP_PAO1_A_cip,JP_PAO1_B_cip,JP_PAO1_C_cip,JP_1128_A_cip,JP_1128_B_cip,JP_1128_C_cip,JP_1139_A_cip,JP_1139_B_cip,JP1139_C_cip
"AS_IGR:(CDS,PA0056,-,transcriptional_regulator,cds56,-,920/CDS,PA0057,-,hypothetical_protein,cds57,+,887):+:66:NC_002516.2",0,2,2,3,0,0,2,1,0
CDS:PA0057:-:hypothetical_protein:cds57:+:887:NC_002516.2,35,68,21,37,11,6,19,16,2
AS_CDS:PA0057:-:hypothetical_protein:cds57:+:887:NC_002516.2,14,24,11,20,1,8,6,11,6
"IGR:(CDS,PA0057,-,hypothetical_protein,cds57,+,887/CDS,PA0058,-,hypothetical_protein,cds58,+,704):+:11:NC_002516.2",0,1,0,0,0,0,0,0,0
"AS_IGR:(CDS,PA0057,-,hypothetical_protein,cds57,+,887/CDS,PA0058,-,hypothetical_protein,cds58,+,704):+:11:NC_002516.2",0,0,0,0,0,0,0,0,0
CDS:PA0058:-:hypothetical_protein:cds58:+:704:NC_002516.2,13,28,15,37,3,8,26,12,8
AS_CDS:PA0058:-:hypothetical_protein:cds58:+:704:NC_002516.2,13,25,8,30,4,2,14,6,7
"IGR:(CDS,PA0058,-,hypothetical_protein,cds58,+,704/CDS,PA0059,osmC,osmotically_inducible_protein_OsmC,cds59,+,455):+:32:NC_002516.2",0,1,0,1,0,0,0,0,0
"AS_IGR:(CDS,PA0058,-,hypothetical_protein,cds58,+,704/CDS,PA0059,osmC,osmotically_inducible_protein_OsmC,cds59,+,455):+:32:NC_002516.2",0,2,0,3,0,0,1,1,0
CDS:PA0059:osmC:osmotically_inducible_protein_OsmC:cds59:+:455:NC_002516.2,72,185,43,259,34,55,184,65,32
AS_CDS:PA0059:osmC:osmotically_inducible_protein_OsmC:cds59:+:455:NC_002516.2,11,34,2,46,4,3,16,6,4
"IGR:(CDS,PA0059,osmC,osmotically_inducible_protein_OsmC,cds59,+,455/CDS,PA0060,-,hypothetical_protein,cds60,+,233):+:59:NC_002516.2",13,34,10,46,7,8,34,12,7
"AS_IGR:(CDS,PA0059,osmC,osmotically_inducible_protein_OsmC,cds59,+,455/CDS,PA0060,-,hypothetical_protein,cds60,+,233):+:59:NC_002516.2",2,7,0,11,1,1,3,3,1
CDS:PA0060:-:hypothetical_protein:cds60:+:233:NC_002516.2,51,138,33,159,17,33,82,31,22
AS_CDS:PA0060:-:hypothetical_protein:cds60:+:233:NC_002516.2,32,93,13,112,16,21,65,38,19
CDS:PA0061:-:hypothetical_protein:cds61:-:437:NC_002516.2,323,1047,290,1112,153,247,624,317,159
AS_CDS:PA0061:-:hypothetical_protein:cds61:-:437:NC_002516.2,89,159,49,190,32,32,105,73,13
"IGR:(CDS,PA0061,-,hypothetical_protein,cds61,-,437/CDS,PA0062,-,hypothetical_protein,cds62,-,416):+:5:NC_002516.2",0,1,1,1,0,0,1,1,0
"AS_IGR:(CDS,PA0061,-,hypothetical_protein,cds61,-,437/CDS,PA0062,-,hypothetical_protein,cds62,-,416):+:5:NC_002516.2",5,18,5,18,2,4,10,6,2
CDS:PA0062:-:hypothetical_protein:cds62:-:416:NC_002516.2,65,177,52,197,30,48,105,48,25
AS_CDS:PA0062:-:hypothetical_protein:cds62:-:416:NC_002516.2,16,71,33,71,4,5,33,12,11
"IGR:(CDS,PA0062,-,hypothetical_protein,cds62,-,416/CDS,PA0063,-,hypothetical_protein,cds63,+,1127):+:50:NC_002516.2",1,4,2,4,0,0,2,1,0
"AS_IGR:(CDS,PA0062,-,hypothetical_protein,cds62,-,416/CDS,PA0063,-,hypothetical_protein,cds63,+,1127):+:50:NC_002516.2",7,18,7,20,4,5,11,5,1
CDS:PA0063:-:hypothetical_protein:cds63:+:1127:NC_002516.2,99,395,149,381,29,84,239,165,17
AS_CDS:PA0063:-:hypothetical_protein:cds63:+:1127:NC_002516.2,101,330,88,452,58,71,191,103,36
CDS:PA0064:-:hypothetical_protein:cds64:-:983:NC_002516.2,157,532,150,624,91,90,301,156,71
AS_CDS:PA0064:-:hypothetical_protein:cds64:-:983:NC_002516.2,40,142,36,148,9,30,91,42,13
CDS:PA0065:-:hypothetical_protein:cds65:-:665:NC_002516.2,96,232,92,241,46,32,191,80,18
AS_CDS:PA0065:-:hypothetical_protein:cds65:-:665:NC_002516.2,30,39,16,42,6,8,31,15,5
CDS:PA0066:-:hypothetical_protein:cds66:-:542:NC_002516.2,144,368,118,368,52,101,234,164,56
AS_CDS:PA0066:-:hypothetical_protein:cds66:-:542:NC_002516.2,16,41,10,36,6,12,18,7,7
"IGR:(CDS,PA0066,-,hypothetical_protein,cds66,-,542/CDS,PA0067,prlC,oligopeptidase_A,cds67,+,2045):+:36:NC_002516.2",3,11,4,10,3,3,8,5,2
"AS_IGR:(CDS,PA0066,-,hypothetical_protein,cds66,-,542/CDS,PA0067,prlC,oligopeptidase_A,cds67,+,2045):+:36:NC_002516.2",7,13,6,7,2,2,7,5,1
CDS:PA0067:prlC:oligopeptidase_A:cds67:+:2045:NC_002516.2,923,2401,793,2650,436,482,1898,990,428
AS_CDS:PA0067:prlC:oligopeptidase_A:cds67:+:2045:NC_002516.2,50,166,76,176,29,53,100,69,26
CDS:PA0068:prlC:hypothetical_protein:cds68:+:275:NC_002516.2,205,645,161,689,93,122,424,216,108
AS_CDS:PA0068:prlC:hypothetical_protein:cds68:+:275:NC_002516.2,5,38,9,23,0,2,14,10,1
"IGR:(CDS,PA0068,prlC,hypothetical_protein,cds68,+,275/CDS,PA0069,-,hypothetical_protein,cds69,+,1058):+:37:NC_002516.2",29,78,18,86,11,14,56,26,11
"AS_IGR:(CDS,PA0068,prlC,hypothetical_protein,cds68,+,275/CDS,PA0069,-,hypothetical_protein,cds69,+,1058):+:37:NC_002516.2",0,6,1,3,0,0,2,2,0
CDS:PA0069:-:hypothetical_protein:cds69:+:1058:NC_002516.2,1077,3066,978,3871,605,689,2507,1315,754
AS_CDS:PA0069:-:hypothetical_protein:cds69:+:1058:NC_002516.2,28,90,25,49,4,9,41,24,2
"IGR:(CDS,PA0069,-,hypothetical_protein,cds69,+,1058/CDS,PA0070,-,hypothetical_protein,cds70,-,914):+:168:NC_002516.2",271,661,276,1229,149,199,634,295,155
"AS_IGR:(CDS,PA0069,-,hypothetical_protein,cds69,+,1058/CDS,PA0070,-,hypothetical_protein,cds70,-,914):+:168:NC_002516.2",61,165,33,164,25,30,91,48,24
CDS:PA0070:-:hypothetical_protein:cds70:-:914:NC_002516.2,1093,3501,876,3640,562,668,2241,1166,535
AS_CDS:PA0070:-:hypothetical_protein:cds70:-:914:NC_002516.2,86,303,111,383,50,72,210,118,62
"IGR:(CDS,PA0070,-,hypothetical_protein,cds70,-,914/CDS,PA0071,-,hypothetical_protein,cds71,-,1712):+:10:NC_002516.2",0,2,0,1,0,0,0,0,0
"AS_IGR:(CDS,PA0070,-,hypothetical_protein,cds70,-,914/CDS,PA0071,-,hypothetical_protein,cds71,-,1712):+:10:NC_002516.2",4,13,3,9,2,3,9,5,2
CDS:PA0071:-:hypothetical_protein:cds71:-:1712:NC_002516.2,546,1447,370,1416,206,227,907,449,225
AS_CDS:PA0071:-:hypothetical_protein:cds71:-:1712:NC_002516.2,58,242,53,218,32,24,170,51,44
CDS:PA0072:-:hypothetical_protein:cds72:-:1199:NC_002516.2,111,391,122,485,63,61,224,131,43
AS_CDS:PA0072:-:hypothetical_protein:cds72:-:1199:NC_002516.2,16,44,11,39,7,3,12,19,2
CDS:PA0073:-:ABC_transporter_ATP-binding_protein:cds73:-:719:NC_002516.2,112,423,110,544,55,71,265,130,74
AS_CDS:PA0073:-:ABC_transporter_ATP-binding_protein:cds73:-:719:NC_002516.2,7,18,1,12,0,1,8,10,1
CDS:PA0074:ppkA:serine%2Fthreonine_protein_kinase_PpkA:cds74:-:3098:NC_002516.2,309,909,265,999,167,166,489,286,120
AS_CDS:PA0074:ppkA:serine%2Fthreonine_protein_kinase_PpkA:cds74:-:3098:NC_002516.2,62,174,58,187,39,27,94,71,30
CDS:PA0075:pppA:PppA_protein:cds75:-:728:NC_002516.2,97,209,71,252,49,31,173,38,31
AS_CDS:PA0075:pppA:PppA_protein:cds75:-:728:NC_002516.2,15,49,5,44,5,3,18,9,15
CDS:PA0076:-:hypothetical_protein:cds76:-:680:NC_002516.2,80,278,87,403,52,28,168,126,57
AS_CDS:PA0076:-:hypothetical_protein:cds76:-:680:NC_002516.2,0,30,11,10,3,4,6,1,2
CDS:PA0077:icmF1:IcmF_protein:cds77:-:3305:NC_002516.2,489,1278,423,1661,254,289,991,480,217
AS_CDS:PA0077:icmF1:IcmF_protein:cds77:-:3305:NC_002516.2,73,246,62,206,19,21,96,61,32
"IGR:(CDS,PA0077,icmF1,IcmF_protein,cds77,-,3305/CDS,PA0078,-,hypothetical_protein,cds78,-,1349):+:170:NC_002516.2",1,3,0,6,0,0,2,1,0
"AS_IGR:(CDS,PA0077,icmF1,IcmF_protein,cds77,-,3305/CDS,PA0078,-,hypothetical_protein,cds78,-,1349):+:170:NC_002516.2",23,79,30,113,9,13,51,26,12
CDS:PA0078:-:hypothetical_protein:cds78:-:1349:NC_002516.2,168,597,160,584,98,66,322,219,76
AS_CDS:PA0078:-:hypothetical_protein:cds78:-:1349:NC_002516.2,20,67,22,75,3,18,42,15,6
CDS:PA0079:-:hypothetical_protein:cds79:-:1334:NC_002516.2,205,506,133,625,76,90,271,153,51
AS_CDS:PA0079:-:hypothetical_protein:cds79:-:1334:NC_002516.2,20,85,61,130,5,16,61,55,15
CDS:PA0080:-:hypothetical_protein:cds80:-:464:NC_002516.2,94,207,70,164,34,48,106,57,34
AS_CDS:PA0080:-:hypothetical_protein:cds80:-:464:NC_002516.2,8,34,7,41,0,3,13,17,0
CDS:PA0081:fha1:Fha_domain-containing_protein:cds81:-:1493:NC_002516.2,668,1635,466,1706,231,271,887,519,227
AS_CDS:PA0081:fha1:Fha_domain-containing_protein:cds81:-:1493:NC_002516.2,49,125,34,151,24,26,59,39,10
"IGR:(CDS,PA0081,fha1,Fha_domain-containing_protein,cds81,-,1493/CDS,PA0082,-,hypothetical_protein,cds82,+,1034):+:326:NC_002516.2",579,1205,308,1148,231,170,765,383,175
"AS_IGR:(CDS,PA0081,fha1,Fha_domain-containing_protein,cds81,-,1493/CDS,PA0082,-,hypothetical_protein,cds82,+,1034):+:326:NC_002516.2",177,506,153,481,96,76,236,106,61
CDS:PA0082:-:hypothetical_protein:cds82:+:1034:NC_002516.2,662,1708,449,1798,283,271,1095,520,233
AS_CDS:PA0082:-:hypothetical_protein:cds82:+:1034:NC_002516.2,10,25,10,33,0,1,17,10,10
"IGR:(CDS,PA0082,-,hypothetical_protein,cds82,+,1034/CDS,PA0083,-,hypothetical_protein,cds83,+,518):+:37:NC_002516.2",8,19,4,20,2,2,7,2,1
"AS_IGR:(CDS,PA0082,-,hypothetical_protein,cds82,+,1034/CDS,PA0083,-,hypothetical_protein,cds83,+,518):+:37:NC_002516.2",0,1,1,1,0,0,2,0,0
CDS:PA0083:-:hypothetical_protein:cds83:+:518:NC_002516.2,118,296,74,313,60,36,140,92,31
AS_CDS:PA0083:-:hypothetical_protein:cds83:+:518:NC_002516.2,16,32,19,43,4,4,43,9,0
CDS:PA0084:-:hypothetical_protein:cds84:+:1496:NC_002516.2,479,1082,303,1028,215,189,683,350,174
AS_CDS:PA0084:-:hypothetical_protein:cds84:+:1496:NC_002516.2,19,44,15,53,12,9,54,19,4
"IGR:(CDS,PA0084,-,hypothetical_protein,cds84,+,1496/CDS,PA0085,hcp1,hypothetical_protein,cds85,+,488):+:24:NC_002516.2",15,38,10,39,8,7,26,13,5
"AS_IGR:(CDS,PA0084,-,hypothetical_protein,cds84,+,1496/CDS,PA0085,hcp1,hypothetical_protein,cds85,+,488):+:24:NC_002516.2",0,1,1,2,0,0,1,0,0
CDS:PA0085:hcp1:hypothetical_protein:cds85:+:488:NC_002516.2,834,2551,608,2420,429,367,1444,798,374
AS_CDS:PA0085:hcp1:hypothetical_protein:cds85:+:488:NC_002516.2,22,48,24,66,11,5,54,13,11
"IGR:(CDS,PA0085,hcp1,hypothetical_protein,cds85,+,488/CDS,PA0086,-,hypothetical_protein,cds86,+,845):+:116:NC_002516.2",200,611,145,619,104,94,344,189,84
"AS_IGR:(CDS,PA0085,hcp1,hypothetical_protein,cds85,+,488/CDS,PA0086,-,hypothetical_protein,cds86,+,845):+:116:NC_002516.2",5,7,0,8,0,1,5,4,0
CDS:PA0086:-:hypothetical_protein:cds86:+:845:NC_002516.2,203,705,218,734,120,112,422,208,83
AS_CDS:PA0086:-:hypothetical_protein:cds86:+:845:NC_002516.2,16,67,4,32,7,1,26,23,5
CDS:PA0087:-:hypothetical_protein:cds87:+:509:NC_002516.2,45,106,24,137,15,15,56,54,15
AS_CDS:PA0087:-:hypothetical_protein:cds87:+:509:NC_002516.2,24,26,11,34,9,9,33,18,2
CDS:PA0088:-:hypothetical_protein:cds88:+:1859:NC_002516.2,172,566,176,604,65,108,243,202,90
AS_CDS:PA0088:-:hypothetical_protein:cds88:+:1859:NC_002516.2,32,65,42,51,5,8,31,16,11
CDS:PA0089:-:hypothetical_protein:cds89:+:1046:NC_002516.2,119,320,114,406,52,58,222,152,62
AS_CDS:PA0089:-:hypothetical_protein:cds89:+:1046:NC_002516.2,5,43,13,42,5,5,18,2,6
CDS:PA0090:clpV1:ClpV1_protein:cds90:+:2708:NC_002516.2,324,933,304,1147,176,173,600,333,169
AS_CDS:PA0090:clpV1:ClpV1_protein:cds90:+:2708:NC_002516.2,89,195,75,260,24,48,112,47,25
CDS:PA0091:vgrG1:VgrG_protein:cds91:+:1931:NC_002516.2,180,488,133,479,49,86,309,144,78
AS_CDS:PA0091:vgrG1:VgrG_protein:cds91:+:1931:NC_002516.2,162,351,71,238,36,49,120,74,31
"IGR:(CDS,PA0091,vgrG1,VgrG_protein,cds91,+,1931/CDS,PA0092,-,hypothetical_protein,cds92,-,284):+:53:NC_002516.2",7,21,6,33,3,4,12,8,3
"AS_IGR:(CDS,PA0091,vgrG1,VgrG_protein,cds91,+,1931/CDS,PA0092,-,hypothetical_protein,cds92,-,284):+:53:NC_002516.2",19,37,7,28,4,5,15,8,2
CDS:PA0092:-:hypothetical_protein:cds92:-:284:NC_002516.2,70,136,37,101,16,24,54,39,17
AS_CDS:PA0092:-:hypothetical_protein:cds92:-:284:NC_002516.2,10,40,16,62,6,7,21,12,11
CDS:PA0093:-:hypothetical_protein:cds93:-:1292:NC_002516.2,247,579,170,640,78,89,268,162,80
AS_CDS:PA0093:-:hypothetical_protein:cds93:-:1292:NC_002516.2,74,125,32,90,7,25,56,32,16
CDS:PA0094:-:hypothetical_protein:cds94:-:434:NC_002516.2,178,351,122,371,79,44,231,121,54
AS_CDS:PA0094:-:hypothetical_protein:cds94:-:434:NC_002516.2,8,21,6,9,8,0,12,0,2
"IGR:(CDS,PA0094,-,hypothetical_protein,cds94,-,434/CDS,PA0095,-,hypothetical_protein,cds95,+,2225):+:212:NC_002516.2",71,205,64,215,36,31,144,76,30
"AS_IGR:(CDS,PA0094,-,hypothetical_protein,cds94,-,434/CDS,PA0095,-,hypothetical_protein,cds95,+,2225):+:212:NC_002516.2",17,38,16,36,8,3,25,12,3
CDS:PA0095:-:hypothetical_protein:cds95:+:2225:NC_002516.2,1278,3572,996,3806,582,524,2349,1231,513
AS_CDS:PA0095:-:hypothetical_protein:cds95:+:2225:NC_002516.2,26,119,37,83,7,7,58,36,4
CDS:PA0096:-:hypothetical_protein:cds96:+:449:NC_002516.2,52,224,48,187,40,32,129,57,29
AS_CDS:PA0096:-:hypothetical_protein:cds96:+:449:NC_002516.2,13,50,18,44,1,4,29,8,7
CDS:PA0097:-:hypothetical_protein:cds97:+:1199:NC_002516.2,120,434,124,442,75,52,248,105,64
AS_CDS:PA0097:-:hypothetical_protein:cds97:+:1199:NC_002516.2,8,27,17,24,4,5,12,7,0
CDS:PA0098:-:3-oxoacyl-ACP_synthase:cds98:+:1037:NC_002516.2,139,387,91,495,73,51,223,118,79
AS_CDS:PA0098:-:3-oxoacyl-ACP_synthase:cds98:+:1037:NC_002516.2,4,25,20,42,4,15,18,14,3
CDS:PA0099:-:hypothetical_protein:cds99:+:1160:NC_002516.2,125,299,98,326,56,63,160,82,41
AS_CDS:PA0099:-:hypothetical_protein:cds99:+:1160:NC_002516.2,29,102,42,79,3,11,60,21,12
CDS:PA0100:-:hypothetical_protein:cds100:+:920:NC_002516.2,183,528,209,487,96,101,343,180,73
AS_CDS:PA0100:-:hypothetical_protein:cds100:+:920:NC_002516.2,42,75,17,73,28,16,47,38,12
CDS:PA0101:-:hypothetical_protein:cds101:+:1247:NC_002516.2,237,789,230,982,119,153,589,246,90
AS_CDS:PA0101:-:hypothetical_protein:cds101:+:1247:NC_002516.2,23,77,23,93,16,7,72,36,19
"IGR:(CDS,PA0101,-,hypothetical_protein,cds101,+,1247/CDS,PA0102,-,carbonic_anhydrase,cds102,+,728):+:324:NC_002516.2",8,23,8,32,6,6,16,13,3
"AS_IGR:(CDS,PA0101,-,hypothetical_protein,cds101,+,1247/CDS,PA0102,-,carbonic_anhydrase,cds102,+,728):+:324:NC_002516.2",7,21,2,15,0,2,4,3,0
CDS:PA0102:-:carbonic_anhydrase:cds102:+:728:NC_002516.2,340,1149,356,1120,207,211,845,497,219
AS_CDS:PA0102:-:carbonic_anhydrase:cds102:+:728:NC_002516.2,18,41,13,43,2,3,42,7,4
"IGR:(CDS,PA0102,-,carbonic_anhydrase,cds102,+,728/CDS,PA0103,-,sulfate_transporter,cds103,+,1571):+:159:NC_002516.2",55,174,47,224,23,36,160,94,39
"AS_IGR:(CDS,PA0102,-,carbonic_anhydrase,cds102,+,728/CDS,PA0103,-,sulfate_transporter,cds103,+,1571):+:159:NC_002516.2",7,12,3,11,0,2,8,3,3
CDS:PA0103:-:sulfate_transporter:cds103:+:1571:NC_002516.2,47,101,33,144,11,30,54,33,27
AS_CDS:PA0103:-:sulfate_transporter:cds103:+:1571:NC_002516.2,41,135,55,121,24,22,73,43,18
CDS:PA0103a:-:hypothetical_protein:cds104:-:638:NC_002516.2,46,135,33,108,20,16,80,37,14
AS_CDS:PA0103a:-:hypothetical_protein:cds104:-:638:NC_002516.2,27,132,55,143,11,16,96,22,25
"IGR:(CDS,PA0103a,-,hypothetical_protein,cds104,-,638/CDS,PA0105,coxB,cytochrome_C_oxidase_subunit_II,cds105,+,1124):+:330:NC_002516.2",52,111,48,136,12,15,88,45,7
"AS_IGR:(CDS,PA0103a,-,hypothetical_protein,cds104,-,638/CDS,PA0105,coxB,cytochrome_C_oxidase_subunit_II,cds105,+,1124):+:330:NC_002516.2",17,91,34,92,4,10,43,17,11
CDS:PA0105:coxB:cytochrome_C_oxidase_subunit_II:cds105:+:1124:NC_002516.2,190,422,150,514,79,106,375,175,90
AS_CDS:PA0105:coxB:cytochrome_C_oxidase_subunit_II:cds105:+:1124:NC_002516.2,58,167,52,179,37,13,86,66,21
CDS:PA0106:coxA:cytochrome_C_oxidase_subunit_I:cds106:+:1592:NC_002516.2,48,93,52,194,30,31,117,66,29
AS_CDS:PA0106:coxA:cytochrome_C_oxidase_subunit_I:cds106:+:1592:NC_002516.2,54,182,72,203,42,33,105,68,17
CDS:PA0107:-:cytochrome_C_oxidase_assembly_protein:cds107:+:554:NC_002516.2,13,18,10,39,5,9,34,18,6
AS_CDS:PA0107:-:cytochrome_C_oxidase_assembly_protein:cds107:+:554:NC_002516.2,27,31,18,58,13,11,30,15,6
CDS:PA0108:coIII:cytochrome_C_oxidase_subunit_III:cds108:+:887:NC_002516.2,17,74,26,81,17,14,69,38,12
AS_CDS:PA0108:coIII:cytochrome_C_oxidase_subunit_III:cds108:+:887:NC_002516.2,107,348,157,418,52,63,273,162,65
CDS:PA0109:-:hypothetical_protein:cds109:-:209:NC_002516.2,148,277,119,378,46,69,241,181,81
AS_CDS:PA0109:-:hypothetical_protein:cds109:-:209:NC_002516.2,9,21,3,22,15,4,25,13,3
CDS:PA0110:-:hypothetical_protein:cds110:+:794:NC_002516.2,31,71,20,89,18,11,64,35,6
AS_CDS:PA0110:-:hypothetical_protein:cds110:+:794:NC_002516.2,31,52,17,75,9,16,42,37,15
CDS:PA0111:-:hypothetical_protein:cds111:+:578:NC_002516.2,7,37,3,36,1,2,17,16,0
AS_CDS:PA0111:-:hypothetical_protein:cds111:+:578:NC_002516.2,1,12,4,10,0,0,2,1,3
"IGR:(CDS,PA0111,-,hypothetical_protein,cds111,+,578/CDS,PA0112,-,hypothetical_protein,cds112,+,1073):+:13:NC_002516.2",0,1,0,0,0,0,0,0,0
"AS_IGR:(CDS,PA0111,-,hypothetical_protein,cds111,+,578/CDS,PA0112,-,hypothetical_protein,cds112,+,1073):+:13:NC_002516.2",0,0,0,0,0,0,0,0,0
CDS:PA0112:-:hypothetical_protein:cds112:+:1073:NC_002516.2,9,20,7,30,5,5,17,13,0
AS_CDS:PA0112:-:hypothetical_protein:cds112:+:1073:NC_002516.2,42,88,32,139,9,8,29,34,10
CDS:PA0113:-:protoheme_IX_farnesyltransferase:cds113:+:914:NC_002516.2,50,136,40,149,17,34,71,54,26
AS_CDS:PA0113:-:protoheme_IX_farnesyltransferase:cds113:+:914:NC_002516.2,101,130,67,181,19,31,109,38,27
CDS:PA0114:senC:SenC_protein:cds114:+:635:NC_002516.2,732,2043,633,2011,243,270,993,597,232
AS_CDS:PA0114:senC:SenC_protein:cds114:+:635:NC_002516.2,8,43,8,32,3,5,17,8,3
CDS:PA0115:-:hypothetical_protein:cds115:-:452:NC_002516.2,25,54,16,45,3,9,67,32,9
AS_CDS:PA0115:-:hypothetical_protein:cds115:-:452:NC_002516.2,115,290,84,274,32,46,170,92,34
"IGR:(CDS,PA0115,-,hypothetical_protein,cds115,-,452/CDS,PA0116,-,hypothetical_protein,cds116,+,473):+:90:NC_002516.2",12,26,7,27,3,4,9,11,0
"AS_IGR:(CDS,PA0115,-,hypothetical_protein,cds115,-,452/CDS,PA0116,-,hypothetical_protein,cds116,+,473):+:90:NC_002516.2",0,4,0,3,0,1,2,1,0
CDS:PA0116:-:hypothetical_protein:cds116:+:473:NC_002516.2,92,211,42,209,22,48,101,76,24
AS_CDS:PA0116:-:hypothetical_protein:cds116:+:473:NC_002516.2,0,1,2,9,0,0,6,0,0
"IGR:(CDS,PA0116,-,hypothetical_protein,cds116,+,473/CDS,PA0117,-,short-chain_dehydrogenase,cds117,+,728):+:205:NC_002516.2",36,92,27,97,13,11,60,27,12
"AS_IGR:(CDS,PA0116,-,hypothetical_protein,cds116,+,473/CDS,PA0117,-,short-chain_dehydrogenase,cds117,+,728):+:205:NC_002516.2",0,1,0,7,0,0,0,0,0
CDS:PA0117:-:short-chain_dehydrogenase:cds117:+:728:NC_002516.2,51,188,74,195,17,40,101,55,24
AS_CDS:PA0117:-:short-chain_dehydrogenase:cds117:+:728:NC_002516.2,1,27,8,16,5,0,9,3,0
CDS:PA0118:-:hypothetical_protein:cds118:+:587:NC_002516.2,7,68,28,46,10,8,38,19,10
AS_CDS:PA0118:-:hypothetical_protein:cds118:+:587:NC_002516.2,3,25,5,9,5,1,9,3,0
"IGR:(CDS,PA0118,-,hypothetical_protein,cds118,+,587/CDS,PA0119,-,C4-dicarboxylate_transporter_DctA,cds119,+,1349):+:178:NC_002516.2",10,43,11,40,3,9,14,13,6
"AS_IGR:(CDS,PA0118,-,hypothetical_protein,cds118,+,587/CDS,PA0119,-,C4-dicarboxylate_transporter_DctA,cds119,+,1349):+:178:NC_002516.2",0,4,0,5,0,1,1,2,0
CDS:PA0119:-:C4-dicarboxylate_transporter_DctA:cds119:+:1349:NC_002516.2,84,314,104,299,31,53,172,133,30
AS_CDS:PA0119:-:C4-dicarboxylate_transporter_DctA:cds119:+:1349:NC_002516.2,25,61,18,66,11,13,30,22,14
CDS:PA0120:-:transcriptional_regulator:cds120:+:686:NC_002516.2,85,203,77,198,32,26,149,74,47
AS_CDS:PA0120:-:transcriptional_regulator:cds120:+:686:NC_002516.2,5,27,11,33,5,10,13,7,2
"IGR:(CDS,PA0120,-,transcriptional_regulator,cds120,+,686/CDS,PA0121,-,hypothetical_protein,cds121,+,734):+:49:NC_002516.2",5,9,7,12,2,2,7,7,2
"AS_IGR:(CDS,PA0120,-,transcriptional_regulator,cds120,+,686/CDS,PA0121,-,hypothetical_protein,cds121,+,734):+:49:NC_002516.2",2,4,1,6,0,1,2,2,1
CDS:PA0121:-:hypothetical_protein:cds121:+:734:NC_002516.2,17,64,34,82,21,8,48,40,26
AS_CDS:PA0121:-:hypothetical_protein:cds121:+:734:NC_002516.2,50,75,39,95,15,17,46,18,17
"IGR:(CDS,PA0121,-,hypothetical_protein,cds121,+,734/CDS,PA0122,-,hypothetical_protein,cds122,+,410):+:128:NC_002516.2",65,156,57,265,25,48,206,61,27
"AS_IGR:(CDS,PA0121,-,hypothetical_protein,cds121,+,734/CDS,PA0122,-,hypothetical_protein,cds122,+,410):+:128:NC_002516.2",9,24,6,20,2,1,16,4,3
CDS:PA0122:-:hypothetical_protein:cds122:+:410:NC_002516.2,367,864,248,1247,155,254,991,317,150
AS_CDS:PA0122:-:hypothetical_protein:cds122:+:410:NC_002516.2,27,75,19,55,3,13,39,16,14
CDS:PA0123:-:transcriptional_regulator:cds123:-:908:NC_002516.2,75,218,90,207,31,20,98,122,20
AS_CDS:PA0123:-:transcriptional_regulator:cds123:-:908:NC_002516.2,105,232,54,337,53,57,216,85,28
"IGR:(CDS,PA0123,-,transcriptional_regulator,cds123,-,908/CDS,PA0124,-,hypothetical_protein,cds124,-,281):+:248:NC_002516.2",3,15,2,13,3,1,8,2,2
"AS_IGR:(CDS,PA0123,-,transcriptional_regulator,cds123,-,908/CDS,PA0124,-,hypothetical_protein,cds124,-,281):+:248:NC_002516.2",22,44,21,74,8,13,38,25,17
CDS:PA0124:-:hypothetical_protein:cds124:-:281:NC_002516.2,33,92,36,128,12,19,69,18,12
AS_CDS:PA0124:-:hypothetical_protein:cds124:-:281:NC_002516.2,17,31,19,37,3,14,29,10,2
CDS:PA0125:-:hypothetical_protein:cds125:-:227:NC_002516.2,19,97,36,82,10,12,43,26,11
AS_CDS:PA0125:-:hypothetical_protein:cds125:-:227:NC_002516.2,8,31,15,15,3,6,22,10,0
"IGR:(CDS,PA0125,-,hypothetical_protein,cds125,-,227/CDS,PA0126,-,hypothetical_protein,cds126,-,620):+:124:NC_002516.2",1,16,4,5,2,2,8,2,4
"AS_IGR:(CDS,PA0125,-,hypothetical_protein,cds125,-,227/CDS,PA0126,-,hypothetical_protein,cds126,-,620):+:124:NC_002516.2",11,25,7,25,3,5,17,6,2
CDS:PA0126:-:hypothetical_protein:cds126:-:620:NC_002516.2,278,599,163,518,83,115,337,161,62
AS_CDS:PA0126:-:hypothetical_protein:cds126:-:620:NC_002516.2,3,32,5,17,3,5,23,1,2
"IGR:(CDS,PA0126,-,hypothetical_protein,cds126,-,620/CDS,PA0127,-,hypothetical_protein,cds127,+,500):+:59:NC_002516.2",1,1,0,2,0,0,2,0,0
"AS_IGR:(CDS,PA0126,-,hypothetical_protein,cds126,-,620/CDS,PA0127,-,hypothetical_protein,cds127,+,500):+:59:NC_002516.2",12,39,12,29,3,4,12,13,3
CDS:PA0127:-:hypothetical_protein:cds127:+:500:NC_002516.2,54,140,33,156,34,30,84,71,13
AS_CDS:PA0127:-:hypothetical_protein:cds127:+:500:NC_002516.2,16,41,2,42,5,10,30,6,2
"IGR:(CDS,PA0127,-,hypothetical_protein,cds127,+,500/CDS,PA0128,-,hypothetical_protein,cds128,+,341):+:21:NC_002516.2",3,11,3,13,3,2,5,4,1
